,Place,Term,Suffix,First_Letter,First_Two_Letter,First_Three_Letter,First_Four_Letter,Last_Letter,Last_Two_Letter,Last_Three_Letter,Last_Four_Letter,First_Letter_Type,Last_Letter_Type,Length,Second_Letter,Second_Letter_Type,Third_Letter,Third_Letter_Type,Fourth_Letter,Fourth_Letter_Type,Second_Last_Letter,Second_Last_Letter_Type,Third_Last_Letter,Third_Last_Letter_Type,Fourth_Last_Letter,Fourth_Last_Letter_Type
3643,Si Sa Ket,Si Sa Ketians,ians,S,Si,Si ,Si S,t,et,Ket, Ket,consanent,consanent,9,i,vowel, ,consanent,S,consanent,e,vowel,K,consanent, ,consanent
3644,Sialkot,Sialkoti,i,S,Si,Sia,Sial,t,ot,kot,lkot,consanent,consanent,7,i,vowel,a,vowel,l,consanent,o,vowel,k,consanent,l,consanent
3645,Siazan,Siazanians,ians,S,Si,Sia,Siaz,n,an,zan,azan,consanent,consanent,6,i,vowel,a,vowel,z,consanent,a,vowel,z,consanent,a,vowel
3646,Sichuan,Sichuanese,ese,S,Si,Sic,Sich,n,an,uan,huan,consanent,consanent,7,i,vowel,c,consanent,h,consanent,a,vowel,u,vowel,h,consanent
3647,Sid,Sidani,ani,S,Si,Sid,Sid,d,id,Sid,d,consanent,consanent,3,i,vowel,d,consanent,,,i,vowel,S,consanent,,
3648,Sidi Bel Abbes,Sidi Bel Abbesiens,iens,S,Si,Sid,Sidi,s,es,bes,bbes,consanent,consanent,14,i,vowel,d,consanent,i,vowel,e,vowel,b,consanent,b,consanent
3649,Sidi Kacem,Sidi Kacemois,ois,S,Si,Sid,Sidi,m,em,cem,acem,consanent,consanent,10,i,vowel,d,consanent,i,vowel,e,vowel,c,consanent,a,vowel
3650,Sidon,Sidonians,ians,S,Si,Sid,Sido,n,on,don,idon,consanent,consanent,5,i,vowel,d,consanent,o,vowel,o,vowel,d,consanent,i,vowel
3651,Siegen,Siegener,er,S,Si,Sie,Sieg,n,en,gen,egen,consanent,consanent,6,i,vowel,e,vowel,g,consanent,e,vowel,g,consanent,e,vowel
3652,Siggiewi,Siggiewin,n,S,Si,Sig,Sigg,i,wi,ewi,iewi,consanent,vowel,8,i,vowel,g,consanent,g,consanent,w,consanent,e,vowel,i,vowel
3653,Siguatepeque,Siguatepequenos,nos,S,Si,Sig,Sigu,e,ue,que,eque,consanent,vowel,12,i,vowel,g,consanent,u,vowel,u,vowel,q,consanent,e,vowel
3654,Siguiri,Siguirians,ans,S,Si,Sig,Sigu,i,ri,iri,uiri,consanent,vowel,7,i,vowel,g,consanent,u,vowel,r,consanent,i,vowel,u,vowel
3655,Siirt,Siirtli,li,S,Si,Sii,Siir,t,rt,irt,iirt,consanent,consanent,5,i,vowel,i,vowel,r,consanent,r,consanent,i,vowel,i,vowel
3656,Sikasso,Sikassois,is,S,Si,Sik,Sika,o,so,sso,asso,consanent,vowel,7,i,vowel,k,consanent,a,vowel,s,consanent,s,consanent,a,vowel
3657,Sikkim,Sikkimese,ese,S,Si,Sik,Sikk,m,im,kim,kkim,consanent,consanent,6,i,vowel,k,consanent,k,consanent,i,vowel,k,consanent,k,consanent
3658,Sila,Silaiens,iens,S,Si,Sil,Sila,a,la,ila,Sila,consanent,vowel,4,i,vowel,l,consanent,a,vowel,l,consanent,i,vowel,S,consanent
3659,Silesia,Silesians,ns,S,Si,Sil,Sile,a,ia,sia,esia,consanent,vowel,7,i,vowel,l,consanent,e,vowel,i,vowel,s,consanent,e,vowel
3660,Siliana,Silianais,is,S,Si,Sil,Sili,a,na,ana,iana,consanent,vowel,7,i,vowel,l,consanent,i,vowel,n,consanent,a,vowel,i,vowel
3661,Siliguri,Siligurian,an,S,Si,Sil,Sili,i,ri,uri,guri,consanent,vowel,8,i,vowel,l,consanent,i,vowel,r,consanent,u,vowel,g,consanent
3662,Silkeborg,Silkeborgers,ers,S,Si,Sil,Silk,g,rg,org,borg,consanent,consanent,9,i,vowel,l,consanent,k,consanent,r,consanent,o,vowel,b,consanent
3663,Sima,Simans,ns,S,Si,Sim,Sima,a,ma,ima,Sima,consanent,vowel,4,i,vowel,m,consanent,a,vowel,m,consanent,i,vowel,S,consanent
3664,Simpang,Simpangers,ers,S,Si,Sim,Simp,g,ng,ang,pang,consanent,consanent,7,i,vowel,m,consanent,p,consanent,n,consanent,a,vowel,p,consanent
3665,Sinchon,Sinchonites,ites,S,Si,Sin,Sinc,n,on,hon,chon,consanent,consanent,7,i,vowel,n,consanent,c,consanent,o,vowel,h,consanent,c,consanent
3666,Sindh,Sindhis,is,S,Si,Sin,Sind,h,dh,ndh,indh,consanent,consanent,5,i,vowel,n,consanent,d,consanent,d,consanent,n,consanent,i,vowel
3667,Singapore,Singaporeans,ans,S,Si,Sin,Sing,e,re,ore,pore,consanent,vowel,9,i,vowel,n,consanent,g,consanent,r,consanent,o,vowel,p,consanent
3668,Singen,Singeners,ers,S,Si,Sin,Sing,n,en,gen,ngen,consanent,consanent,6,i,vowel,n,consanent,g,consanent,e,vowel,g,consanent,n,consanent
3669,Singerei,Singereieni,eni,S,Si,Sin,Sing,i,ei,rei,erei,consanent,vowel,8,i,vowel,n,consanent,g,consanent,e,vowel,r,consanent,e,vowel
3670,Singida,Singidans,ns,S,Si,Sin,Sing,a,da,ida,gida,consanent,vowel,7,i,vowel,n,consanent,g,consanent,d,consanent,i,vowel,g,consanent
3671,Sinmak,Sinmakites,ites,S,Si,Sin,Sinm,k,ak,mak,nmak,consanent,consanent,6,i,vowel,n,consanent,m,consanent,a,vowel,m,consanent,n,consanent
3672,Sinpo,Sinpoites,ites,S,Si,Sin,Sinp,o,po,npo,inpo,consanent,vowel,5,i,vowel,n,consanent,p,consanent,p,consanent,n,consanent,i,vowel
3673,Sinuiju,Sinuijuites,ites,S,Si,Sin,Sinu,u,ju,iju,uiju,consanent,vowel,7,i,vowel,n,consanent,u,vowel,j,consanent,i,vowel,u,vowel
3674,Siparia,Siparians,ns,S,Si,Sip,Sipa,a,ia,ria,aria,consanent,vowel,7,i,vowel,p,consanent,a,vowel,i,vowel,r,consanent,a,vowel
3675,Siracusa,Siracusani,ni,S,Si,Sir,Sira,a,sa,usa,cusa,consanent,vowel,8,i,vowel,r,consanent,a,vowel,s,consanent,u,vowel,c,consanent
3676,Sirajganj,Sirajganji,i,S,Si,Sir,Sira,j,nj,anj,ganj,consanent,consanent,9,i,vowel,r,consanent,a,vowel,n,consanent,a,vowel,g,consanent
3677,Sirvan,Sirvanlilar,lilar,S,Si,Sir,Sirv,n,an,van,rvan,consanent,consanent,6,i,vowel,r,consanent,v,consanent,a,vowel,v,consanent,r,consanent
3678,Sisian,Sisianetsi,etsi,S,Si,Sis,Sisi,n,an,ian,sian,consanent,consanent,6,i,vowel,s,consanent,i,vowel,a,vowel,i,vowel,s,consanent
3679,Sivas,Sivasli,li,S,Si,Siv,Siva,s,as,vas,ivas,consanent,consanent,5,i,vowel,v,consanent,a,vowel,a,vowel,v,consanent,i,vowel
3680,Skelleftea,Skellefteasians,sians,S,Sk,Ske,Skel,a,ea,tea,ftea,consanent,vowel,10,k,consanent,e,vowel,l,consanent,e,vowel,t,consanent,f,consanent
3681,Skerries,Skerriesians,ians,S,Sk,Ske,Sker,s,es,ies,ries,consanent,consanent,8,k,consanent,e,vowel,r,consanent,e,vowel,i,vowel,r,consanent
3682,Skien,Skieners,ers,S,Sk,Ski,Skie,n,en,ien,kien,consanent,consanent,5,k,consanent,i,vowel,e,vowel,e,vowel,i,vowel,k,consanent
3683,Skikda,Skikdans,ns,S,Sk,Ski,Skik,a,da,kda,ikda,consanent,vowel,6,k,consanent,i,vowel,k,consanent,d,consanent,k,consanent,i,vowel
3684,Skive,Skivers,rs,S,Sk,Ski,Skiv,e,ve,ive,kive,consanent,vowel,5,k,consanent,i,vowel,v,consanent,v,consanent,i,vowel,k,consanent
3685,Skocjan,Skocjancani,cani,S,Sk,Sko,Skoc,n,an,jan,cjan,consanent,consanent,7,k,consanent,o,vowel,c,consanent,a,vowel,j,consanent,c,consanent
3686,Skofja Vas,Skofja Vascani,cani,S,Sk,Sko,Skof,s,as,Vas, Vas,consanent,consanent,10,k,consanent,o,vowel,f,consanent,a,vowel,V,consanent, ,consanent
3687,Skofljica,Skofljicani,ni,S,Sk,Sko,Skof,a,ca,ica,jica,consanent,vowel,9,k,consanent,o,vowel,f,consanent,c,consanent,i,vowel,j,consanent
3688,Skovde,Skovdeians,ians,S,Sk,Sko,Skov,e,de,vde,ovde,consanent,vowel,6,k,consanent,o,vowel,v,consanent,d,consanent,v,consanent,o,vowel
3689,Slagelse,Slagelseans,ans,S,Sl,Sla,Slag,e,se,lse,else,consanent,vowel,8,l,consanent,a,vowel,g,consanent,s,consanent,l,consanent,e,vowel
3690,Sligo,Sligoans,ans,S,Sl,Sli,Slig,o,go,igo,ligo,consanent,vowel,5,l,consanent,i,vowel,g,consanent,g,consanent,i,vowel,l,consanent
3691,Sliven,Slivenians,ians,S,Sl,Sli,Sliv,n,en,ven,iven,consanent,consanent,6,l,consanent,i,vowel,v,consanent,e,vowel,v,consanent,i,vowel
3692,Slonim,Slonimians,ians,S,Sl,Slo,Slon,m,im,nim,onim,consanent,consanent,6,l,consanent,o,vowel,n,consanent,i,vowel,n,consanent,o,vowel
3693,Sloviansk,Slovianskians,ians,S,Sl,Slo,Slov,k,sk,nsk,ansk,consanent,consanent,9,l,consanent,o,vowel,v,consanent,s,consanent,n,consanent,a,vowel
3694,Slupsk,Slupskians,ians,S,Sl,Slu,Slup,k,sk,psk,upsk,consanent,consanent,6,l,consanent,u,vowel,p,consanent,s,consanent,p,consanent,u,vowel
3695,Slutsk,Slutskians,ians,S,Sl,Slu,Slut,k,sk,tsk,utsk,consanent,consanent,6,l,consanent,u,vowel,t,consanent,s,consanent,t,consanent,u,vowel
3696,Smarje pri Jelsah,Smarje pri Jelsahcani,cani,S,Sm,Sma,Smar,h,ah,sah,lsah,consanent,consanent,17,m,consanent,a,vowel,r,consanent,a,vowel,s,consanent,l,consanent
3697,Smartno ob Paki,Smartno ob Pakicani,cani,S,Sm,Sma,Smar,i,ki,aki,Paki,consanent,vowel,15,m,consanent,a,vowel,r,consanent,k,consanent,a,vowel,P,consanent
3698,Smolensk,Smolenskans,ans,S,Sm,Smo,Smol,k,sk,nsk,ensk,consanent,consanent,8,m,consanent,o,vowel,l,consanent,s,consanent,n,consanent,e,vowel
3699,Smolyan,Smolyanians,ians,S,Sm,Smo,Smol,n,an,yan,lyan,consanent,consanent,7,m,consanent,o,vowel,l,consanent,a,vowel,y,consanent,l,consanent
3700,Smyrna,Smyrnans,ns,S,Sm,Smy,Smyr,a,na,rna,yrna,consanent,vowel,6,m,consanent,y,consanent,r,consanent,n,consanent,r,consanent,y,consanent
3701,Soc Trang,Soc Trangers,ers,S,So,Soc,Soc ,g,ng,ang,rang,consanent,consanent,9,o,vowel,c,consanent, ,consanent,n,consanent,a,vowel,r,consanent
3702,Sochi,Sochians,ans,S,So,Soc,Soch,i,hi,chi,ochi,consanent,vowel,5,o,vowel,c,consanent,h,consanent,h,consanent,c,consanent,o,vowel
3703,Soderhamn,Soderhamns,s,S,So,Sod,Sode,n,mn,amn,hamn,consanent,consanent,9,o,vowel,d,consanent,e,vowel,m,consanent,a,vowel,h,consanent
3704,Sofia,Sofians,ns,S,So,Sof,Sofi,a,ia,fia,ofia,consanent,vowel,5,o,vowel,f,consanent,i,vowel,i,vowel,f,consanent,o,vowel
3705,Sofia-Capital,Sofia-Capitalians,ians,S,So,Sof,Sofi,l,al,tal,ital,consanent,consanent,13,o,vowel,f,consanent,i,vowel,a,vowel,t,consanent,i,vowel
3706,Sohag,Sohagians,ians,S,So,Soh,Soha,g,ag,hag,ohag,consanent,consanent,5,o,vowel,h,consanent,a,vowel,a,vowel,h,consanent,o,vowel
3707,Sokode,Sokodeans,ans,S,So,Sok,Soko,e,de,ode,kode,consanent,vowel,6,o,vowel,k,consanent,o,vowel,d,consanent,o,vowel,k,consanent
3708,Solapur,Solapuri,i,S,So,Sol,Sola,r,ur,pur,apur,consanent,consanent,7,o,vowel,l,consanent,a,vowel,u,vowel,p,consanent,a,vowel
3709,Soledad,Soledadenses,enses,S,So,Sol,Sole,d,ad,dad,edad,consanent,consanent,7,o,vowel,l,consanent,e,vowel,a,vowel,d,consanent,e,vowel
3710,Soligorsk,Soligorskians,ians,S,So,Sol,Soli,k,sk,rsk,orsk,consanent,consanent,9,o,vowel,l,consanent,i,vowel,s,consanent,r,consanent,o,vowel
3711,Solihull,Solihullian,ian,S,So,Sol,Soli,l,ll,ull,hull,consanent,consanent,8,o,vowel,l,consanent,i,vowel,l,consanent,u,vowel,h,consanent
3712,Solothurn,Solothurner,er,S,So,Sol,Solo,n,rn,urn,hurn,consanent,consanent,9,o,vowel,l,consanent,o,vowel,r,consanent,u,vowel,h,consanent
3713,Solt,Solti,i,S,So,Sol,Solt,t,lt,olt,Solt,consanent,consanent,4,o,vowel,l,consanent,t,consanent,l,consanent,o,vowel,S,consanent
3714,Solwezi,Solwezians,ans,S,So,Sol,Solw,i,zi,ezi,wezi,consanent,vowel,7,o,vowel,l,consanent,w,consanent,z,consanent,e,vowel,w,consanent
3715,Somali,Somalis,s,S,So,Som,Soma,i,li,ali,mali,consanent,vowel,6,o,vowel,m,consanent,a,vowel,l,consanent,a,vowel,m,consanent
3716,Sombor,Somborci,ci,S,So,Som,Somb,r,or,bor,mbor,consanent,consanent,6,o,vowel,m,consanent,b,consanent,o,vowel,b,consanent,m,consanent
3717,Son La,Son Lans,ns,S,So,Son,Son ,a,La, La,n La,consanent,vowel,6,o,vowel,n,consanent, ,consanent,L,consanent, ,consanent,n,consanent
3718,Sonderborg,Sonderborgers,ers,S,So,Son,Sond,g,rg,org,borg,consanent,consanent,10,o,vowel,n,consanent,d,consanent,r,consanent,o,vowel,b,consanent
3719,Songkhla,Songkhlans,ns,S,So,Son,Song,a,la,hla,khla,consanent,vowel,8,o,vowel,n,consanent,g,consanent,l,consanent,h,consanent,k,consanent
3720,Songnim,Songnimites,ites,S,So,Son,Song,m,im,nim,gnim,consanent,consanent,7,o,vowel,n,consanent,g,consanent,i,vowel,n,consanent,g,consanent
3721,Sonsonate,Sonsonatenos,nos,S,So,Son,Sons,e,te,ate,nate,consanent,vowel,9,o,vowel,n,consanent,s,consanent,t,consanent,a,vowel,n,consanent
3722,Sool,Soolites,ites,S,So,Soo,Sool,l,ol,ool,Sool,consanent,consanent,4,o,vowel,o,vowel,l,consanent,o,vowel,o,vowel,S,consanent
3723,Sorocaba,Sorocabanos,nos,S,So,Sor,Soro,a,ba,aba,caba,consanent,vowel,8,o,vowel,r,consanent,o,vowel,b,consanent,a,vowel,c,consanent
3724,Soroti,Sorotians,ans,S,So,Sor,Soro,i,ti,oti,roti,consanent,vowel,6,o,vowel,r,consanent,o,vowel,t,consanent,o,vowel,r,consanent
3725,Sor-Trondelag,Sor-Trondelaginger,inger,S,So,Sor,Sor-,g,ag,lag,elag,consanent,consanent,13,o,vowel,r,consanent,-,consanent,a,vowel,l,consanent,e,vowel
3726,Sostanj,Sostanjcani,cani,S,So,Sos,Sost,j,nj,anj,tanj,consanent,consanent,7,o,vowel,s,consanent,t,consanent,n,consanent,a,vowel,t,consanent
3727,Sotouboua,Sotoubouais,is,S,So,Sot,Soto,a,ua,oua,boua,consanent,vowel,9,o,vowel,t,consanent,o,vowel,u,vowel,o,vowel,b,consanent
3728,Soufriere,Soufriereans,ans,S,So,Sou,Souf,e,re,ere,iere,consanent,vowel,9,o,vowel,u,vowel,f,consanent,r,consanent,e,vowel,i,vowel
3729,South Aegean,South Aegeans,s,S,So,Sou,Sout,n,an,ean,gean,consanent,consanent,12,o,vowel,u,vowel,t,consanent,a,vowel,e,vowel,g,consanent
3730,South America,South Americans,ns,S,So,Sou,Sout,a,ca,ica,rica,consanent,vowel,13,o,vowel,u,vowel,t,consanent,c,consanent,i,vowel,r,consanent
3731,South Australia,South Australians,ns,S,So,Sou,Sout,a,ia,lia,alia,consanent,vowel,15,o,vowel,u,vowel,t,consanent,i,vowel,l,consanent,a,vowel
3732,South Bohemian,South Bohemians,s,S,So,Sou,Sout,n,an,ian,mian,consanent,consanent,14,o,vowel,u,vowel,t,consanent,a,vowel,i,vowel,m,consanent
3733,South Caicos,South Caicos Islanders,islanders,S,So,Sou,Sout,s,os,cos,icos,consanent,consanent,12,o,vowel,u,vowel,t,consanent,o,vowel,c,consanent,i,vowel
3734,South Dakota,South Dakotans,ns,S,So,Sou,Sout,a,ta,ota,kota,consanent,vowel,12,o,vowel,u,vowel,t,consanent,t,consanent,o,vowel,k,consanent
3735,South Moravian,South Moravians,s,S,So,Sou,Sout,n,an,ian,vian,consanent,consanent,14,o,vowel,u,vowel,t,consanent,a,vowel,i,vowel,v,consanent
3736,Southall,Southaller,er,S,So,Sou,Sout,l,ll,all,hall,consanent,consanent,8,o,vowel,u,vowel,t,consanent,l,consanent,a,vowel,h,consanent
3737,Southern District,Southern Districtians,ians,S,So,Sou,Sout,t,ct,ict,rict,consanent,consanent,17,o,vowel,u,vowel,t,consanent,c,consanent,i,vowel,r,consanent
3738,Southport,Southporter,er,S,So,Sou,Sout,t,rt,ort,port,consanent,consanent,9,o,vowel,u,vowel,t,consanent,r,consanent,o,vowel,p,consanent
3739,Spanish Town,Spanish Townians,ians,S,Sp,Spa,Span,n,wn,own,Town,consanent,consanent,12,p,consanent,a,vowel,n,consanent,w,consanent,o,vowel,T,consanent
3740,Sparta,Spartans,ns,S,Sp,Spa,Spar,a,ta,rta,arta,consanent,vowel,6,p,consanent,a,vowel,r,consanent,t,consanent,r,consanent,a,vowel
3741,Speightstown,Speightstowners,ers,S,Sp,Spe,Spei,n,wn,own,town,consanent,consanent,12,p,consanent,e,vowel,i,vowel,w,consanent,o,vowel,t,consanent
3742,Spisska Nova Ves,Spisska Nova Vesans,ans,S,Sp,Spi,Spis,s,es,Ves, Ves,consanent,consanent,16,p,consanent,i,vowel,s,consanent,e,vowel,V,consanent, ,consanent
3743,Spitak,Spitaktsi,tsi,S,Sp,Spi,Spit,k,ak,tak,itak,consanent,consanent,6,p,consanent,i,vowel,t,consanent,a,vowel,t,consanent,i,vowel
3744,Spreitenbach,Spreitenbacher,er,S,Sp,Spr,Spre,h,ch,ach,bach,consanent,consanent,12,p,consanent,r,consanent,e,vowel,c,consanent,a,vowel,b,consanent
3745,Springfield,Springfielders,ers,S,Sp,Spr,Spri,d,ld,eld,ield,consanent,consanent,11,p,consanent,r,consanent,i,vowel,l,consanent,e,vowel,i,vowel
3746,Srinagar,Srinagari,i,S,Sr,Sri,Srin,r,ar,gar,agar,consanent,consanent,8,r,consanent,i,vowel,n,consanent,a,vowel,g,consanent,a,vowel
3747,St Albans,St Albansian,ian,S,St,St ,St A,s,ns,ans,bans,consanent,consanent,9,t,consanent, ,consanent,A,vowel,n,consanent,a,vowel,b,consanent
3748,St Andrew,St Andrewians,ians,S,St,St ,St A,w,ew,rew,drew,consanent,consanent,9,t,consanent, ,consanent,A,vowel,e,vowel,r,consanent,d,consanent
3749,St Ann's Bay,St Ann's Bayians,ians,S,St,St ,St A,y,ay,Bay, Bay,consanent,consanent,12,t,consanent, ,consanent,A,vowel,a,vowel,B,consanent, ,consanent
3750,St Elizabeth,St Elizabethians,ians,S,St,St ,St E,h,th,eth,beth,consanent,consanent,12,t,consanent, ,consanent,E,vowel,t,consanent,e,vowel,b,consanent
3751,St James,St Jamesians,ians,S,St,St ,St J,s,es,mes,ames,consanent,consanent,8,t,consanent, ,consanent,J,consanent,e,vowel,m,consanent,a,vowel
3752,St John,St Johners,ers,S,St,St ,St J,n,hn,ohn,John,consanent,consanent,7,t,consanent, ,consanent,J,consanent,h,consanent,o,vowel,J,consanent
3753,St Joseph,St Josephites,ites,S,St,St ,St J,h,ph,eph,seph,consanent,consanent,9,t,consanent, ,consanent,J,consanent,p,consanent,e,vowel,s,consanent
3754,St Louis,St Louisans,ans,S,St,St ,St L,s,is,uis,ouis,consanent,consanent,8,t,consanent, ,consanent,L,consanent,i,vowel,u,vowel,o,vowel
3755,St Mary,St Maryians,ians,S,St,St ,St M,y,ry,ary,Mary,consanent,consanent,7,t,consanent, ,consanent,M,consanent,r,consanent,a,vowel,M,consanent
3756,St Paul,St Paulites,ites,S,St,St ,St P,l,ul,aul,Paul,consanent,consanent,7,t,consanent, ,consanent,P,consanent,u,vowel,a,vowel,P,consanent
3757,St Peter,St Petersians,sians,S,St,St ,St P,r,er,ter,eter,consanent,consanent,8,t,consanent, ,consanent,P,consanent,e,vowel,t,consanent,e,vowel
3758,St Petersburg,St Petersburgers,ers,S,St,St ,St P,g,rg,urg,burg,consanent,consanent,13,t,consanent, ,consanent,P,consanent,r,consanent,u,vowel,b,consanent
3759,St Philip,St Philipsians,sians,S,St,St ,St P,p,ip,lip,ilip,consanent,consanent,9,t,consanent, ,consanent,P,consanent,i,vowel,l,consanent,i,vowel
3760,St Thomas,St Thomasians,ians,S,St,St ,St T,s,as,mas,omas,consanent,consanent,9,t,consanent, ,consanent,T,consanent,a,vowel,m,consanent,o,vowel
3761,Stakhanov,Stakhanovites,ites,S,St,Sta,Stak,v,ov,nov,anov,consanent,consanent,9,t,consanent,a,vowel,k,consanent,o,vowel,n,consanent,a,vowel
3762,Stalowa Wola,Stalowa Wolaans,ans,S,St,Sta,Stal,a,la,ola,Wola,consanent,vowel,12,t,consanent,a,vowel,l,consanent,l,consanent,o,vowel,W,consanent
3763,Standerton,Standertonians,ians,S,St,Sta,Stan,n,on,ton,rton,consanent,consanent,10,t,consanent,a,vowel,n,consanent,o,vowel,t,consanent,r,consanent
3764,Stara Lubovna,Stara Lubovnans,ns,S,St,Sta,Star,a,na,vna,ovna,consanent,vowel,13,t,consanent,a,vowel,r,consanent,n,consanent,v,consanent,o,vowel
3765,Stara Zagora,Stara Zagorans,ns,S,St,Sta,Star,a,ra,ora,gora,consanent,vowel,12,t,consanent,a,vowel,r,consanent,r,consanent,o,vowel,g,consanent
3766,Staryya Darohi,Staryya Darohians,ans,S,St,Sta,Star,i,hi,ohi,rohi,consanent,vowel,14,t,consanent,a,vowel,r,consanent,h,consanent,o,vowel,r,consanent
3767,Stavanger,Stavangerers,ers,S,St,Sta,Stav,r,er,ger,nger,consanent,consanent,9,t,consanent,a,vowel,v,consanent,e,vowel,g,consanent,n,consanent
3768,Stavropol,Stavropolians,ians,S,St,Sta,Stav,l,ol,pol,opol,consanent,consanent,9,t,consanent,a,vowel,v,consanent,o,vowel,p,consanent,o,vowel
3769,Steffisburg,Steffisburger,er,S,St,Ste,Stef,g,rg,urg,burg,consanent,consanent,11,t,consanent,e,vowel,f,consanent,r,consanent,u,vowel,b,consanent
3770,Steinhausen,Steinhausener,er,S,St,Ste,Stei,n,en,sen,usen,consanent,consanent,11,t,consanent,e,vowel,i,vowel,e,vowel,s,consanent,u,vowel
3771,Stellenbosch,Stellenboschians,ians,S,St,Ste,Stel,h,ch,sch,osch,consanent,consanent,12,t,consanent,e,vowel,l,consanent,c,consanent,s,consanent,o,vowel
3772,Stepanavan,Stepanavanetsi,etsi,S,St,Ste,Step,n,an,van,avan,consanent,consanent,10,t,consanent,e,vowel,p,consanent,a,vowel,v,consanent,a,vowel
3773,Steyr,Steyrers,ers,S,St,Ste,Stey,r,yr,eyr,teyr,consanent,consanent,5,t,consanent,e,vowel,y,consanent,y,consanent,e,vowel,t,consanent
3774,Stockport,Stockporter,er,S,St,Sto,Stoc,t,rt,ort,port,consanent,consanent,9,t,consanent,o,vowel,c,consanent,r,consanent,o,vowel,p,consanent
3775,Stockton,Stocktonians,ians,S,St,Sto,Stoc,n,on,ton,kton,consanent,consanent,8,t,consanent,o,vowel,c,consanent,o,vowel,t,consanent,k,consanent
3776,Stolin,Stoliners,ers,S,St,Sto,Stol,n,in,lin,olin,consanent,consanent,6,t,consanent,o,vowel,l,consanent,i,vowel,l,consanent,o,vowel
3777,Stowbtsy,Stowbtsyans,ans,S,St,Sto,Stow,y,sy,tsy,btsy,consanent,consanent,8,t,consanent,o,vowel,w,consanent,s,consanent,t,consanent,b,consanent
3778,Stralsund,Stralsunder,er,S,St,Str,Stra,d,nd,und,sund,consanent,consanent,9,t,consanent,r,consanent,a,vowel,n,consanent,u,vowel,s,consanent
3779,Straubing,Straubingers,ers,S,St,Str,Stra,g,ng,ing,bing,consanent,consanent,9,t,consanent,r,consanent,a,vowel,n,consanent,i,vowel,b,consanent
3780,Stretford,Stretfordian,ian,S,St,Str,Stre,d,rd,ord,ford,consanent,consanent,9,t,consanent,r,consanent,e,vowel,r,consanent,o,vowel,f,consanent
3781,Stromstad,Stromstads,s,S,St,Str,Stro,d,ad,tad,stad,consanent,consanent,9,t,consanent,r,consanent,o,vowel,a,vowel,t,consanent,s,consanent
3782,Struer,Struers,s,S,St,Str,Stru,r,er,uer,ruer,consanent,consanent,6,t,consanent,r,consanent,u,vowel,e,vowel,u,vowel,r,consanent
3783,Stuttgart,Stuttgarters,ers,S,St,Stu,Stut,t,rt,art,gart,consanent,consanent,9,t,consanent,u,vowel,t,consanent,r,consanent,a,vowel,g,consanent
3784,Subang Jaya,Subang Jayans,ns,S,Su,Sub,Suba,a,ya,aya,Jaya,consanent,vowel,11,u,vowel,b,consanent,a,vowel,y,consanent,a,vowel,J,consanent
3785,Subotica,Suboticani,ni,S,Su,Sub,Subo,a,ca,ica,tica,consanent,vowel,8,u,vowel,b,consanent,o,vowel,c,consanent,i,vowel,t,consanent
3786,Sucre,Sucrenses,nses,S,Su,Suc,Sucr,e,re,cre,ucre,consanent,vowel,5,u,vowel,c,consanent,r,consanent,r,consanent,c,consanent,u,vowel
3787,Sud-Ouest,Sud-Ouestais,ais,S,Su,Sud,Sud-,t,st,est,uest,consanent,consanent,9,u,vowel,d,consanent,-,consanent,s,consanent,e,vowel,u,vowel
3788,Suez,Suezis,is,S,Su,Sue,Suez,z,ez,uez,Suez,consanent,consanent,4,u,vowel,e,vowel,z,consanent,e,vowel,u,vowel,S,consanent
3789,Sukhbaatar,Sukhbaatarians,ians,S,Su,Suk,Sukh,r,ar,tar,atar,consanent,consanent,10,u,vowel,k,consanent,h,consanent,a,vowel,t,consanent,a,vowel
3790,Sukhothai,Sukhothaians,ans,S,Su,Suk,Sukh,i,ai,hai,thai,consanent,vowel,9,u,vowel,k,consanent,h,consanent,a,vowel,h,consanent,t,consanent
3791,Sukkur,Sukkurian,ian,S,Su,Suk,Sukk,r,ur,kur,kkur,consanent,consanent,6,u,vowel,k,consanent,k,consanent,u,vowel,k,consanent,k,consanent
3792,Sumare,Sumareenses,enses,S,Su,Sum,Suma,e,re,are,mare,consanent,vowel,6,u,vowel,m,consanent,a,vowel,r,consanent,a,vowel,m,consanent
3793,Sumbe,Sumbenses,nses,S,Su,Sum,Sumb,e,be,mbe,umbe,consanent,vowel,5,u,vowel,m,consanent,b,consanent,b,consanent,m,consanent,u,vowel
3794,Sumqayit,Sumqayitians,ians,S,Su,Sum,Sumq,t,it,yit,ayit,consanent,consanent,8,u,vowel,m,consanent,q,consanent,i,vowel,y,consanent,a,vowel
3795,Sumy,Sumyans,ans,S,Su,Sum,Sumy,y,my,umy,Sumy,consanent,consanent,4,u,vowel,m,consanent,y,consanent,m,consanent,u,vowel,S,consanent
3796,Sunamganj,Sunamganji,i,S,Su,Sun,Suna,j,nj,anj,ganj,consanent,consanent,9,u,vowel,n,consanent,a,vowel,n,consanent,a,vowel,g,consanent
3797,Sunan,Sunanites,ites,S,Su,Sun,Suna,n,an,nan,unan,consanent,consanent,5,u,vowel,n,consanent,a,vowel,a,vowel,n,consanent,u,vowel
